,date,closed_price_yesterday,open_price_today,highest_price_today,lowest_price_today,closed_price_today,trade_volume,trade_amount,day_slope
18,20050128,821.705,819.656,822.822,816.539,820.689,2339918.0,1189618.54,0.7435422439041952
19,20050131,820.689,817.93,819.347,810.722,813.753,2588408.0,1331737.139,0.7783507659466435
20,20050201,813.753,812.563,824.11,812.152,817.872,2732303.0,1465250.787,0.7648460553410494
21,20050202,817.872,819.245,860.879,819.245,860.504,7774033.0,4262551.034,0.7449863915378199
22,20050203,860.504,856.77,867.199,846.407,848.486,7120290.0,3920720.189,0.7474931606326152
23,20050204,848.486,847.617,877.391,845.446,872.884,7331555.0,4193941.398,0.8701337086844134
24,20050216,872.884,877.97,884.986,871.375,875.46,5056844.0,2827036.33,1.0440962138584133
25,20050217,875.46,876.636,876.636,861.447,870.085,3634848.0,2082719.031,1.0061538362441897
26,20050218,870.085,869.398,870.529,855.416,856.212,3521323.0,1919298.22,1.0145192437396418
27,20050221,856.212,856.954,874.096,856.954,874.021,4329100.0,2395829.415,1.018406670547642
28,20050222,874.021,874.946,889.982,870.586,887.07,6674490.0,3748027.747,1.0077967351141677
29,20050223,887.07,886.668,886.668,872.561,877.914,7459593.0,4155038.972,1.0195876156298267
30,20050224,877.914,875.726,878.14,870.04,877.345,5475889.0,3099816.301,0.9882172032345791
31,20050225,877.345,878.216,888.791,877.098,878.503,6543358.0,3923305.702,0.9085944929081595
32,20050228,878.503,878.553,878.657,864.65,868.886,4847487.0,2822666.898,0.962881463137462
33,20050301,868.886,868.367,871.421,863.492,866.258,3179948.0,1886264.154,0.980797542823098
34,20050302,866.258,866.078,875.069,855.283,855.879,5951922.0,3591714.424,0.9474241793296097
35,20050303,855.879,854.789,863.1,851.434,861.688,3339214.0,1823063.553,0.9447509895013995
36,20050304,861.688,862.112,866.58,858.132,859.489,2983023.0,1788447.913,0.9506616984825387
37,20050307,859.489,859.659,865.529,859.517,863.704,2797013.0,1693090.958,0.8609914540707966
